"AnimalID","feedlot","cohort","set13","brd50","inductionweight","mix_final","BVDV_PI_origin_FINAL","age_ind_est_m","PV_pre2_final","BVDV1","BVDV_binary","mix_final_v1","BVDV_PI_origin_FINAL_v1","age","weight"
"951 000017387232","10","PC16","PC163GMYH046",1,463,"no no 10+","PI animal in cohort",19,"0","5",1,"no no","PI animal in cohort",0.19,0.463
"951 000017387317","10","PC16","PC163GMYH046",1,491,"no no 10+","PI animal in cohort",19,"0","4",1,"no no","PI animal in cohort",0.19,0.491
"951 000017387330","10","PC16","PC163GMYH046",1,484,"no no 10+","PI animal in cohort",19,"0","5",1,"no no","PI animal in cohort",0.19,0.484
"951 000017387404","10","PC16","PC163GMYH046",1,462,"no no 10+","PI animal in cohort",19,"0","2",1,"no no","PI animal in cohort",0.19,0.462
"951 000017387508","10","PC16","PC163GMYH046",1,480,"no no 10+","PI animal in cohort",19,"0","4",1,"no no","PI animal in cohort",0.19,0.48
"951 000017387614","10","PC16","PC163GMYH046",1,494,"no no 10+","PI animal in cohort",19,"0","4",1,"no no","PI animal in cohort",0.19,0.494
"951 000017387689","10","PC16","PC163GMYH046",1,487,"no no 10+","PI animal in cohort",19,"0","4",1,"no no","PI animal in cohort",0.19,0.487
"951 000017388147","10","PC16","PC163GMYH046",1,480,"no no 10+","PI animal in cohort",19,"0","3",1,"no no","PI animal in cohort",0.19,0.48
"951 000017388486","10","PC16","PC163GMYH046",1,464,"no no 10+","PI animal in cohort",19,"0","5",1,"no no","PI animal in cohort",0.19,0.464
"951 000017388544","10","PC16","PC163GMYH046",1,462,"no no 10+","PI animal in cohort",19,"0","5",1,"no no","PI animal in cohort",0.19,0.462
"951 000017439231","4","CR18","CR18NF160187",0,412,"no no 10+","PI animal in cohort",31,"0","5",1,"no no","PI animal in cohort",0.31,0.412
"951 000017440034","4","CR18","CR18NF160187",0,409,"no no 10+","PI animal in cohort",31,"0","4",1,"no no","PI animal in cohort",0.31,0.409
"951 000017441019","4","CR18","CR18NF160187",1,434,"no no 10+","PI animal in cohort",31,"0","0",0,"no no","PI animal in cohort",0.31,0.434
"951 000017511654","4","CR22","CR22NE111316",1,467,"yes no 4-9","TI but no PI in cohort",17,"0","4",1,"yes no","TI but no PI in cohort",0.17,0.467
"951 000017532116","4","CR18","CR18NF160187",1,423,"no no 10+","PI animal in cohort",31,"0","0",0,"no no","PI animal in cohort",0.31,0.423
"951 000017997104","10","PC17","PC17SA200432",1,400,"no no 10+","TI but no PI in cohort",18,"0","2",1,"no no","TI but no PI in cohort",0.18,0.4
"951 000017997311","10","PC17","PC17SA200432",1,398,"no no 10+","TI but no PI in cohort",18,"0","3",1,"no no","TI but no PI in cohort",0.18,0.398
"951 000017997485","10","PC17","PC17SA200432",1,400,"no no 10+","TI but no PI in cohort",18,"0","2",1,"no no","TI but no PI in cohort",0.18,0.4
"951 000017997502","10","PC17","PC17SA200432",1,381,"no no 10+","TI but no PI in cohort",18,"0","4",1,"no no","TI but no PI in cohort",0.18,0.381
"951 000017997793","10","PC17","PC17SA200432",1,396,"no no 10+","TI but no PI in cohort",18,"0","4",1,"no no","TI but no PI in cohort",0.18,0.396
"951 000017998215","10","PC17","PC17SA200432",1,466,"no no 10+","TI but no PI in cohort",18,"0","5",1,"no no","TI but no PI in cohort",0.18,0.466
"951 000017998701","10","PC17","PC17SA200432",1,381,"no no 10+","TI but no PI in cohort",18,"0","4",1,"no no","TI but no PI in cohort",0.18,0.381
"951 000017998951","10","PC17","PC17SA200432",0,383,"no no 10+","TI but no PI in cohort",18,"0","4",1,"no no","TI but no PI in cohort",0.18,0.383
"951 000018175672","4","CR14","CR14NJ160045",0,490,"no no 10+","TI but no PI in cohort",21,"0","0",0,"no no","TI but no PI in cohort",0.21,0.49
"951 000018176014","4","CR14","CR14NJ160045",0,493,"no no 10+","TI but no PI in cohort",21,"0","0",0,"no no","TI but no PI in cohort",0.21,0.493
"951 000018176453","4","CR14","CR14NJ160045",1,478,"no no 10+","TI but no PI in cohort",21,"0","0",0,"no no","TI but no PI in cohort",0.21,0.478
"951 000018176568","4","CR14","CR14NJ160045",1,497,"no no 10+","TI but no PI in cohort",21,"0","0",0,"no no","TI but no PI in cohort",0.21,0.497
"951 000018176653","4","CR14","CR14NJ160045",1,470,"no no 10+","TI but no PI in cohort",21,"0","0",0,"no no","TI but no PI in cohort",0.21,0.47
"951 000018176775","4","CR14","CR14NJ160045",1,497,"no no 10+","TI but no PI in cohort",21,"0","0",0,"no no","TI but no PI in cohort",0.21,0.497
"951 000018343308","4","CR18","CR18NF160187",0,433,"no no 10+","PI animal in cohort",31,"0","4",1,"no no","PI animal in cohort",0.31,0.433
"951 000018344621","4","CR18","CR18NF160187",1,458,"no no 10+","PI animal in cohort",31,"0","5",1,"no no","PI animal in cohort",0.31,0.458
"951 000300185057","4","CR18","CR18NG451429",0,387,"no no 10+","PI animal in cohort",14,"0","5",1,"no no","PI animal in cohort",0.14,0.387
"951 000300211503","4","CR18","CR18NG451429",0,380,"no no 10+","PI animal in cohort",14,"0","1",1,"no no","PI animal in cohort",0.14,0.38
"951 000300211670","4","CR18","CR18NG451429",0,400,"no no 10+","PI animal in cohort",14,"0","0",0,"no no","PI animal in cohort",0.14,0.4
"951 000300212019","4","CR18","CR18NG451429",0,444,"no no 10+","PI animal in cohort",14,"0","4",1,"no no","PI animal in cohort",0.14,0.444
"951 000300212057","4","CR18","CR18NG451429",0,412,"no no 10+","PI animal in cohort",14,"0","0",0,"no no","PI animal in cohort",0.14,0.412
"951 000300212121","4","CR18","CR18NG451429",1,400,"no no 10+","PI animal in cohort",14,"0","4",1,"no no","PI animal in cohort",0.14,0.4
"982 000000612203","2","BC06","BC06NI410014",0,430,"yes no 10+","PI animal in cohort",15,"0","4",1,"yes no","PI animal in cohort",0.15,0.43
"982 000015578845","14","YB06","YB063MHDF012",0,452,"yes no 4-9","PI animal in group_28",20,"1","1",1,"yes no","PI animal before cohort",0.2,0.452
"982 000026787510","2","BC02","BC02NE021185",0,532,"no no 10+","PI animal in cohort",28,"0","0",0,"no no","PI animal in cohort",0.28,0.532
"982 000026838136","2","BC02","BC02NE021185",0,548,"no no 10+","PI animal in cohort",28,"0","0",0,"no no","PI animal in cohort",0.28,0.548
"982 000026914045","2","BC02","BC02NE021185",0,548,"no no 10+","PI animal in cohort",28,"0","4",1,"no no","PI animal in cohort",0.28,0.548
"982 000030437846","4","CR05","CR05NK251301",1,470,"yes no 10+","PI animal in cohort",17,"1","5",1,"yes no","PI animal in cohort",0.17,0.47
"982 000036726599","7","JL05","JL05ND292020",0,466,"yes no 4-9","TI but no PI in cohort",18,"0","4",1,"yes no","TI but no PI in cohort",0.18,0.466
"982 000039378222","4","CR12","CR12NK251301",1,423,"yes no 10+","TI but no PI in cohort",19,"0","4",1,"yes no","TI but no PI in cohort",0.19,0.423
"982 000039412319","4","CR12","CR12NC023558",1,445,"yes no 10+","TI but no PI in cohort",20,"0","5",1,"yes no","TI but no PI in cohort",0.2,0.445
"982 000039491280","4","CR12","CR12NK251301",1,473,"yes no 10+","TI but no PI in cohort",19,"0","2",1,"yes no","TI but no PI in cohort",0.19,0.473
"982 000040644030","1","AS03","AS03NE272494",1,489,"yes no 10+","TI but no PI in cohort",19,"0","0",0,"yes no","TI but no PI in cohort",0.19,0.489
"982 000041394213","8","KW04","KW04QHWM0435",0,380,"yes no no","no BVDV in cohort",13,"0","3",1,"yes no","no BVDV in cohort",0.13,0.38
"982 000049472937","10","PC07","PC073WARC033",1,396,"yes no 4-9","no BVDV in cohort",16,"0","5",1,"yes no","no BVDV in cohort",0.16,0.396
"982 000049769532","10","PC07","PC073WARC033",1,446,"yes no 4-9","no BVDV in cohort",16,"0","0",0,"yes no","no BVDV in cohort",0.16,0.446
"982 000050000858","1","AS03","AS03NE272494",1,400,"yes no 10+","TI but no PI in cohort",19,"0","0",0,"yes no","TI but no PI in cohort",0.19,0.4
