SWAB_NUMBER,VAC_CODE,CALF_ID,SEX,location,Producer,pinkeye,weight,Pinkeye_score,,extra
62,4,b0408,s,1,1,0,600,0
460,4,b4420,s,4,1,0,600,0
373,4,w9304,s,3,1,0,600,0
521,3,307,b,6,2,0,602,0
506,2,112,h,6,2,0,602,0
511,4,473,h,6,2,0,602,0
28,4,y347,h,1,1,1,602,1
366,4,w2312,h,3,1,0,602,0
184,1,b0326,s,2,1,0,602,0
143,4,b8803,s,2,1,0,602,0
287,3,w1233,s,3,1,0,602,0
295,3,w5204,s,3,1,0,602,0
264,2,w1228,h,3,1,0,604,0
128,3,b4011,s,2,1,0,604,0
204,2,b8011,s,2,1,0,604,0
489,4,207,b,5,2,0,606,0
495,1,O40,b,5,2,0,610,0
6,4,y981,h,1,1,0,610,0
606,4,688,s,9,3,1,610,1
152,3,b0154,s,2,1,1,610,5
550,1,819,b,7,2,0,612,0
428,4,b4502,h,4,1,0,612,0
254,2,w1236,s,3,1,0,612,0
494,1,954,h,5,2,0,614,0
412,1,b0106,s,4,1,0,614,0
310,2,w9104,s,3,1,0,614,0
520,4,405,b,6,2,0,616,0
120,2,b4308,s,1,1,0,616,0
349,2,w1110,s,3,1,0,616,0
206,2,b0119,s,2,1,0,618,0
425,1,b0369,s,4,1,0,618,0
198,1,b8719,s,2,1,0,618,0
351,3,w2304,s,3,1,0,618,0
371,2,w3314,s,3,1,0,618,0
256,2,w5201,s,3,1,0,618,0
30,3,y362,b,1,1,0,620,0
218,2,b8001,h,2,1,0,620,0
634,2,681,s,10,3,0,620,0
636,1,664,s,10,3,0,620,0
488,1,874,h,5,2,0,622,0
542,4,121,h,7,2,0,622,0
233,2,w6203,h,3,1,0,622,0
283,3,w9202,h,3,1,0,622,0
362,2,w2310,s,3,1,0,622,0
385,4,b8804,h,4,1,0,624,0
369,2,w3308,s,3,1,0,624,0
621,2,641,b,10,3,0,625,0
645,3,682,s,11,3,0,625,0
170,3,b4606,h,2,1,0,626,0
211,4,b0113,s,2,1,0,626,0
124,1,b8004,s,2,1,0,626,0
121,4,b0354,s,2,1,0,628,0
615,2,708,s,10,3,0,630,0
166,3,b0204,s,2,1,0,632,0
114,3,b0305,s,1,1,0,632,0
476,2,822,b,5,2,0,634,0
531,2,347,b,6,2,0,634,0
26,3,y851,b,1,1,1,638,1
131,3,b0104,s,2,1,0,638,0
481,2,830,b,5,2,0,640,0
537,4,O27,b,6,2,0,640,0
632,4,684,s,10,3,0,640,0
277,4,w1204,s,3,1,0,640,0
359,3,w1310,s,3,1,0,640,0
293,4,w8207,s,3,1,0,640,0
145,1,b4517,h,2,1,0,644,0
404,4,b0117,s,4,1,0,644,0
415,4,b0230,s,4,1,0,644,0
173,3,b4906,s,2,1,0,644,0
149,3,b8903,s,2,1,0,644,0
515,1,421,b,6,2,0,646,0
393,4,b8914,s,4,1,1,646,5
169,3,b0101,h,2,1,0,648,0
235,1,w1219,h,3,1,0,650,0
347,3,w9123,s,3,1,0,652,0
450,1,b0254,s,4,1,0,654,0
618,4,712,b,10,3,1,655,3
227,3,w64 uni bull no tag,b,3,1,0,655,0
527,4,148,b,6,2,0,656,0
525,1,706,h,6,2,0,656,0
469,2,b0247,s,4,1,0,658,0
523,2,957,b,6,2,0,660,0
234,2,w4205,s,3,1,0,660,0
386,1,b0367,s,4,1,0,662,0
360,2,w3304,s,3,1,0,662,0
260,2,w8206,s,3,1,0,662,0
