"","AnimalID","feedlot","cohort","Y","A","age","weight","mix_hist","PIgroup","PV_vacc","ps.re","ps.fe"
"417","982 000100691499",4,"CR11",1,1,0.18,0.456,"yes no","PI animal in cohort",1,0.760036534135102,0.766675061189007
"418","982 000100691503",4,"CR11",1,1,0.18,0.454,"yes no","PI animal in cohort",1,0.761334817119336,0.768048287273243
"419","982 000100691609",4,"CR11",0,1,0.18,0.499,"yes no","PI animal in cohort",1,0.730969530982983,0.735798544855412
"420","982 000100724792",4,"CR07",0,1,0.14,0.496,"yes no","PI animal in cohort",0,0.737034381366968,0.728033275483139
"421","982 000101334669",4,"CR17",1,0,0.23,0.463,"yes no","PI animal in cohort",0,0.749334853357982,0.739419972093265
"422","982 000101980286",4,"CR09",0,0,0.19,0.464,"no no","TI but no PI in cohort",0,0.412613195613468,0.412587462384485
"423","982 000101980672",4,"CR09",1,0,0.19,0.403,"no no","TI but no PI in cohort",0,0.466138281785328,0.470369496548117
"424","982 000102107637",4,"CR09",1,0,0.19,0.433,"no no","TI but no PI in cohort",0,0.439638131826106,0.441753891028522
"425","982 000102107731",4,"CR09",1,0,0.19,0.425,"no no","TI but no PI in cohort",0,0.446677588839332,0.449354921444848
"451","982 000104455452",4,"CR05",1,1,0.17,0.463,"yes no","PI animal in cohort",1,0.756545333028026,0.763205342102435
"453","982 000105804890",4,"CR04",1,1,0.19,0.448,"yes no","PI animal before cohort",0,0.959078886532039,0.955884587093326
"454","982 000105831002",4,"CR05",1,1,0.17,0.457,"yes no","PI animal in cohort",1,0.760464347317718,0.767350557737235
"457","982 000106239150",4,"CR21",0,1,0.17,0.446,"yes no","TI but no PI in cohort",1,0.684923927980972,0.69327697962418
"459","982 000107963382",4,"CR06",0,1,0.23,0.474,"yes no","PI animal in cohort",0,0.741895401255273,0.731185935165914
"462","982 000109372538",4,"CR07",0,1,0.24,0.459,"no no","PI animal in cohort",0,0.51325920003785,0.512011603070991
"463","982 000109411327",4,"CR05",1,0,0.17,0.473,"yes no","PI animal in cohort",1,0.749917613195358,0.756184166463333
"464","982 000109610196",4,"CR12",1,0,0.19,0.452,"yes no","TI but no PI in cohort",0,0.676992963139169,0.667196910576101
"465","982 000109753245",4,"CR09",0,1,0.17,0.484,"yes no","TI but no PI in cohort",1,0.654977300973845,0.661352880969409
"470","982 000110915299",4,"CR04",0,1,0.24,0.434,"no no","PI animal in cohort",0,0.535489257733378,0.535990302426097
"471","982 000110915337",4,"CR04",1,1,0.24,0.436,"no no","PI animal in cohort",0,0.533714860360669,0.534076646875049
"472","982 000110915398",4,"CR04",1,1,0.24,0.429,"no no","PI animal in cohort",0,0.539921225475403,0.540769685151307
"473","982 000110915509",4,"CR04",1,1,0.24,0.444,"no no","PI animal in cohort",0,0.526609181941624,0.526412549084845
"474","982 000110915800",4,"CR04",1,1,0.24,0.442,"no no","PI animal in cohort",0,0.528386725600754,0.52832988284803
"475","982 000110915974",4,"CR04",1,0,0.24,0.407,"no no","PI animal in cohort",0,0.559337754714804,0.561698443870063
"476","982 000110916110",4,"CR04",1,1,0.24,0.436,"no no","PI animal in cohort",0,0.533714860360669,0.534076646875049
"492","982 000112132793",4,"CR07",0,1,0.11,0.4,"no no","PI animal in cohort",0,0.58426465872563,0.592454522861649
"497","982 000112622054",4,"CR07",0,1,0.11,0.443,"no no","PI animal in cohort",0,0.546607431890241,0.551995115058777
"498","982 000112943790",4,"CR07",0,1,0.24,0.38,"no no","PI animal in cohort",0,0.582915516501751,0.587079539184552
"499","982 000112944076",4,"CR07",0,1,0.24,0.453,"no no","PI animal in cohort",0,0.518602533404348,0.517775717433726
"500","982 000112944225",4,"CR05",0,1,0.19,0.417,"yes no","PI animal in cohort",0,0.782917586613208,0.777366645375805
"501","982 000112944357",4,"CR07",0,1,0.24,0.42,"no no","PI animal in cohort",0,0.547882417486922,0.549353123502167
"510","982 000115080671",4,"CR09",0,1,0.17,0.438,"yes no","TI but no PI in cohort",1,0.691047427680657,0.699780756458908
"512","982 000115300696",4,"CR09",0,1,0.17,0.412,"yes no","TI but no PI in cohort",1,0.710483506128785,0.720361448869816
"517","982 000115965821",4,"CR05",0,1,0.17,0.475,"yes no","PI animal in cohort",1,0.748577733397359,0.754763128417965
"571","982 000117842449",4,"CR05",1,0,0.17,0.47,"yes no","PI animal in cohort",1,0.751918490728248,0.758305240008368
"577","982 000118319420",4,"CR12",0,1,0.18,0.471,"no no","TI but no PI in cohort",0,0.408004438114897,0.407918627635557
"578","982 000118319978",4,"CR12",1,1,0.18,0.479,"no no","TI but no PI in cohort",0,0.401132614993741,0.400508704851422
"579","982 000118334911",4,"CR12",1,0,0.18,0.437,"no no","TI but no PI in cohort",0,0.437581984438267,0.439841431388494
